               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.025228,           0.0071762,           0.0080962,              0.9858,                   1,               0.995,             0.71061,            0.021038,           0.0052192,           0.0042484,            0.005446,            0.005446,            0.005446
                  94,            0.025214,           0.0068765,           0.0068039,             0.98908,                   1,               0.995,             0.77835,            0.020769,            0.005263,           0.0040464,           0.0053965,           0.0053965,           0.0053965
                  95,            0.025317,           0.0065865,            0.007461,             0.98529,                   1,               0.995,             0.77451,            0.020288,           0.0053251,           0.0038471,            0.005347,            0.005347,            0.005347
                  96,            0.025169,           0.0071655,           0.0068898,              0.9891,                   1,               0.995,             0.75721,            0.021715,           0.0052829,           0.0037656,           0.0052975,           0.0052975,           0.0052975
                  97,            0.025321,           0.0076805,           0.0074888,             0.99034,                   1,               0.995,             0.74702,            0.020898,           0.0053673,            0.003637,            0.005248,            0.005248,            0.005248
                  98,            0.026271,           0.0073933,           0.0065861,             0.98949,                   1,               0.995,             0.76531,            0.021621,           0.0053477,           0.0035725,           0.0051985,           0.0051985,           0.0051985
                  99,            0.024218,           0.0065773,           0.0061606,              0.9644,                   1,             0.99313,             0.78996,            0.020299,           0.0051341,           0.0036819,            0.005149,            0.005149,            0.005149
                 100,            0.023723,            0.006654,           0.0065274,              0.9847,                   1,               0.995,             0.77495,            0.018596,           0.0051273,           0.0037998,           0.0050995,           0.0050995,           0.0050995
                 101,            0.024468,           0.0063997,           0.0063997,              0.9864,                   1,               0.995,             0.78546,            0.019548,            0.005189,           0.0038652,             0.00505,             0.00505,             0.00505
                 102,            0.024839,           0.0073057,           0.0068454,             0.98929,                   1,               0.995,             0.74515,            0.020782,           0.0051073,           0.0037819,           0.0050005,           0.0050005,           0.0050005
                 103,            0.026289,            0.006516,           0.0066154,             0.89112,                   1,             0.99135,             0.76444,            0.021157,           0.0050345,           0.0037405,            0.004951,            0.004951,            0.004951
                 104,            0.024314,           0.0072348,            0.007283,              0.9777,                   1,               0.995,             0.74065,            0.019993,           0.0050193,           0.0036306,           0.0049015,           0.0049015,           0.0049015
